,momentum_20d,momentum_20d,momentum_20d,momentum_20d,momentum_60d,momentum_60d,momentum_60d,momentum_60d,volatility_20d,volatility_20d,volatility_20d,volatility_20d,rsi_14d,rsi_14d,rsi_14d,rsi_14d
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
Ticker,,,,,,,,,,,,,,,,
BYDDY,0.039681348902379995,0.16255957097614834,-0.32363881357053104,0.7173609178160263,0.13368964968752378,0.352863165530667,-0.47272463446523105,1.7193821591488634,0.5076154364879912,0.2100464416041075,0.13457872040838853,1.223467784548857,51.93237691384784,16.273327550915624,13.624975159604602,93.42241474294572
F,0.015331121899673327,0.13401003946846646,-0.47027743910037656,0.5071867758185495,0.04960207587504964,0.22447042993253039,-0.5693561607808932,0.6307380276045587,0.4001972542214916,0.17374457653965272,0.12437823212763856,1.2914143376679144,50.92798449403731,16.89103484282826,8.918226839217226,89.86673752819497
GM,0.0032565094888094346,0.11814260344465939,-0.5130314019793502,0.36735694135758434,0.010866638289180178,0.1964244814004147,-0.543614053309174,0.664286144625098,0.3871523230441356,0.18378614781300218,0.12903283066257676,1.434247157565995,50.14647855553704,16.534301489825637,11.690196311487043,89.38381821186503
HMC,0.007256053523171068,0.06839144800930101,-0.24346523353265648,0.2618230051401438,0.02123039489049897,0.10658232129522228,-0.30219537355580184,0.3909132981913299,0.24733558262474284,0.10628892027062253,0.09855776678697145,0.8145035498080084,51.37884780981467,15.794758291440074,10.6286925352169,93.34940583435139
NIO,0.041473159992644414,0.3003101969660378,-0.5290322312703357,1.534686959221466,0.19062338737432827,0.8116606192720253,-0.6811023564767065,3.951310819952724,0.8298393808277924,0.31866996823526134,0.3412029944712848,2.214535399623961,48.7535912205045,16.824351853079776,7.478240429288519,93.91913628714228
STLA,0.02004465135318034,0.10990128598832184,-0.5152672339680194,0.30249378673877003,0.055265426198062205,0.18667777677984174,-0.5761014515487424,0.5260804586506789,0.3613872833541769,0.17284167927675587,0.14219504492017407,1.319019307164212,52.93820208232386,16.20046489926261,6.7008148392067,92.61668924584991
TM,0.011650666321355349,0.058742478916714906,-0.22582947840021572,0.19810813581713638,0.031862678883514045,0.09387448460586507,-0.24003648511367015,0.2737380572714969,0.21951825608883038,0.09650207011196527,0.075908875301004,0.7366472071216436,52.74396765084941,15.55992408004743,9.055328335106054,94.59499825959932
TSLA,0.06730724676138565,0.22828175466031547,-0.606265385382069,1.063036441806831,0.20792025950452217,0.4433208132055641,-0.5886899209269705,1.813269388933863,0.6075547067607567,0.2365489283564136,0.20935982576197237,1.5917122011641158,54.28359805580833,18.49582929994484,7.274999547320533,97.25373995777302
VWAGY,0.006378689066386594,0.11404361216771738,-0.41157019829996677,0.9232166633578394,0.017939898647051807,0.19539953040117236,-0.4449063595350572,1.0715475735024387,0.3741397541937118,0.21634313366249303,0.1162591055633264,1.4876107047565346,50.207000680851365,16.13532031950213,5.148434446642227,95.85943488767809
